periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf
2018-06,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",123448,120539,97.64,2839,2.3,70,0.06,72.1811,62.3024
2018-06,Norte,ACES Douro Sul,"41.0953745, -7.8123805",73872,70122,94.92,3446,4.66,304,0.41,73.0622,43.7867
2018-06,Norte,ACES Gerês / Cabreira,"41.6298661, -8.3596897",106432,104642,98.32,1786,1.68,4,0.0,74.0109,62.8962
2018-06,Norte,ACES Gondomar,"41.1738444, -8.5612238",167024,166930,99.94,28,0.02,66,0.04,73.8496,21.2766
2018-06,Norte,ACES Matosinhos,"41.1918541, -8.6590693",173822,170253,97.95,3288,1.89,281,0.16,72.5929,51.8768
2018-06,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115729,115617,99.9,92,0.08,20,0.02,74.0552,20.6294
2018-07,Alentejo,ACES Baixo Alentejo,"38.0153039, -7.8627308",123685,120581,97.49,2663,2.15,441,0.36,72.2805,61.0717
2018-07,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",257969,224935,87.19,32726,12.69,308,0.12,54.2901,32.5805
2018-07,Lisboa e Vale do Tejo,ACES Sintra,"38.7519209, -9.2753636",358981,280048,78.01,78108,21.76,825,0.23,56.8123,41.9669
2018-07,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",123525,120554,97.59,2847,2.3,124,0.1,72.1697,62.2476
2018-07,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",117166,116859,99.74,247,0.21,60,0.05,73.1968,39.0728
2018-07,Norte,ACES Gondomar,"41.1738444, -8.5612238",167150,167045,99.94,39,0.02,66,0.04,73.8929,23.8095
2018-07,Norte,ACES Porto Ocidental,"41.1741353, -8.6691662",169198,162891,96.27,5977,3.53,330,0.2,65.1273,50.1902
2018-08,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",247223,227076,91.85,19938,8.06,209,0.08,58.3742,29.2518
2018-08,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",384967,366834,95.29,15796,4.1,2337,0.61,71.9271,51.5206
2018-08,Centro,ACES Beira Interior Sul,"39.8211367, -7.5036651",73217,70793,96.69,1546,2.11,878,1.2,68.9946,53.9926
2018-08,Centro,ACES Dão Lafões,"40.6565861, -7.9124712",269449,256967,95.37,12047,4.47,435,0.16,71.2903,60.1291
2018-08,Centro,ACES Guarda,"40.5353285, -7.2724426",149256,141799,95.0,5869,3.93,1588,1.06,71.9639,41.6311
2018-08,Centro,ACES Pinhal Interior Sul,"39.7510898, -7.9203657",30547,30327,99.28,40,0.13,180,0.59,79.738,20.9091
2018-08,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",346744,293670,84.69,52255,15.07,819,0.24,62.3198,35.2826
2018-08,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",202758,172809,85.23,28879,14.24,1070,0.53,54.5494,32.7344
2018-08,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",249123,232227,93.22,16345,6.56,551,0.22,55.5897,37.2399
2018-08,Norte,ACES Nordeste,"41.8069684, -6.7587977",131615,128531,97.66,2233,1.7,851,0.65,75.1092,59.4674
2018-08,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",117497,113158,96.31,2657,2.26,1682,1.43,69.1679,61.2099
2018-08,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115812,115631,99.84,161,0.14,20,0.02,74.1506,21.3483
2018-09,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",247503,228133,92.17,19155,7.74,215,0.09,58.4735,30.8054
2018-09,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",385370,371607,96.43,11432,2.97,2331,0.6,71.8279,45.7274
2018-09,Centro,ACES Beira Interior Sul,"39.8211367, -7.5036651",73257,70788,96.63,1593,2.17,876,1.2,68.9248,53.4224
2018-09,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",344074,298836,86.85,44354,12.89,884,0.26,62.7641,33.771
2018-09,Lisboa e Vale do Tejo,ACES Arrábida,"38.5324373, -8.8627453",227900,165704,72.71,61465,26.97,731,0.32,62.0716,48.4164
2018-09,Lisboa e Vale do Tejo,ACES Estuário do Tejo,"38.9528113, -8.9911154",228140,178263,78.14,48985,21.47,892,0.39,58.5261,46.0618
2018-09,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.478072, -8.5404429",225156,205056,91.07,19603,8.71,497,0.22,69.4082,59.3961
2018-09,Norte,ACES Douro Sul,"41.0953745, -7.8123805",73293,70357,95.99,2639,3.6,297,0.41,73.6281,51.891
2018-09,Norte,ACES Gondomar,"41.1738444, -8.5612238",167434,167319,99.93,44,0.03,71,0.04,74.0827,26.087
2018-09,Norte,ACES Póvoa do Varzim / Vila do Conde,"41.355519, -8.746653",150527,150497,99.98,17,0.01,13,0.01,71.0456,36.6667
2018-09,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160176,158682,99.07,1485,0.93,9,0.01,76.3493,67.2691
2018-10,Alentejo,ACES Alentejo Central,"38.8442031, -7.5826619",166905,165245,99.01,1481,0.89,179,0.11,74.846,72.2909
2018-10,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",129832,124988,96.27,4044,3.11,800,0.62,74.328,53.4596
2018-10,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",172356,125045,72.55,47073,27.31,238,0.14,56.217,41.1905
2018-10,Norte,ACES Douro Sul,"41.0953745, -7.8123805",73156,72964,99.74,81,0.11,111,0.15,73.5846,15.1042
2018-10,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",183730,181168,98.61,2458,1.34,104,0.06,73.4109,54.8362
2018-10,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",219247,216695,98.84,2458,1.12,94,0.04,71.435,52.8605
