tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2021-09,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",354,994,35.6
2021-09,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",2571,2980,86.3
2021-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1387,1650,84.1
2021-10,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1333,1662,80.2
2021-10,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",3060,3517,87.0
2021-10,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2021-10,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1906,1987,95.9
2021-10,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2275,2577,88.3
2021-11,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1532,1661,92.2
2021-11,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1466,1651,88.8
2021-11,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2021-11,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",452,452,100.0
2021-11,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",71,485,14.6
2021-11,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",6508,7240,89.9
2021-11,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",3005,3593,83.6
2021-11,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",3196,3576,89.4
2021-11,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",3504,3504,100.0
2021-11,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",170,829,20.5
2021-11,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",3352,3859,86.9
2021-11,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2562,2898,88.4
2021-12,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1788,2101,85.1
2021-12,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",619,958,64.6
2021-12,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1802,2069,87.1
2021-12,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1980,2279,86.9
2021-12,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",7837,10218,76.7
2021-12,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",901,1259,71.6
2021-12,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",7174,8677,82.7
2022-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",263,324,81.2
2022-01,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",541,585,92.5
2022-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",896,1061,84.4
2022-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",72,77,93.5
2022-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",527,576,91.5
2022-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",873,988,88.4
2022-01,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",587,646,90.9
2022-01,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",243,287,84.7
2022-01,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",629,700,89.9
2022-01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",254,284,89.4
2022-02,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",508,626,81.2
2022-02,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",1120,1218,92.0
2022-02,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",495,533,92.9
2022-02,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",1030,1102,93.5
2022-02,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",451,512,88.1
2022-02,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",389,458,84.9
2022-02,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",1372,1797,76.3
2022-02,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",344,426,80.8
2022-02,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",164,237,69.2
2022-02,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",1206,1415,85.2
2022-02,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2022-02,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",479,490,97.8
2022-02,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",715,838,85.3
2022-03,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",794,965,82.3
2022-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",412,449,91.8
2022-03,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",781,1018,76.7
2022-03,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",222,226,98.2
2022-03,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",250,351,71.2
2022-03,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",1569,1759,89.2
2022-03,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",2237,2893,77.3
2022-03,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",1802,1998,90.2
2022-03,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1540,1690,91.1
2022-03,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",1939,2272,85.3
2022-03,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",185,474,39.0
2022-04,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1778,1882,94.5
2022-04,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",86,86,100.0
2022-04,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",240,261,92.0
2022-04,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",868,997,87.1
2022-04,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",362,525,69.0
2022-04,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",2576,3068,84.0
2022-04,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",1597,1825,87.5
2022-04,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",985,1135,86.8
2022-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",4201,4998,84.1
2022-05,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",416,593,70.2
2022-05,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",3281,3892,84.3
2022-05,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2022-05,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1791,1976,90.6
2022-06,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",3337,3609,92.5
2022-06,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",2896,3303,87.7
2022-06,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",476,680,70.0
2022-06,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",3381,3775,89.6
2022-06,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1539,1857,82.9
2022-06,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2162,2307,93.7
2022-06,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1132,1343,84.3
2022-06,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1244,1494,83.3
2022-06,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",535,763,70.1
2022-06,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",3328,3753,88.7
2022-06,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",2580,2936,87.9
2022-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",623,756,82.4
2022-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",819,914,89.6
2022-07,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1004,1251,80.3
2022-07,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1825,2188,83.4
2022-07,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",2620,2884,90.8
2022-07,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",1762,1762,100.0
2022-07,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2552,2826,90.3
2022-07,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1746,1995,87.5
2022-08,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1885,2307,81.7
2022-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",741,902,82.2
2022-08,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",4412,4756,92.8
2022-08,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",406,449,90.4
2022-08,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",679,963,70.5
2022-08,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3356,3804,88.2
2022-08,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",5110,6061,84.3
2022-08,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",7303,7904,92.4
2022-08,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2022-09,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2079,2530,82.2
2022-09,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1117,1226,91.1
2022-09,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",3035,3634,83.5
2022-09,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",219,219,100.0
2022-09,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",604,613,98.5
2022-09,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",4354,4978,87.5
2022-09,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",2394,2842,84.2
2022-09,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2022-09,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1782,2184,81.6
2022-09,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2514,2910,86.4
2022-09,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",2046,2114,96.8
2022-09,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2249,2567,87.6
2022-10,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1412,1630,86.6
2022-10,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1336,1697,78.7
2022-10,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2022-10,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",2105,2558,82.3
2022-10,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",6450,7681,84.0
2022-10,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",2298,2369,97.0
2022-11,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4517,4873,92.7
2022-11,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",911,1250,72.9
2022-11,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",3184,3889,81.9
2022-11,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",3000,3552,84.5
2022-11,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2022-11,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",3436,3854,89.2
2022-11,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",2321,2811,82.6
2022-11,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",6014,6697,89.8
2022-11,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",991,1390,71.3
2022-11,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",10559,11404,92.6
2022-11,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",3988,4431,90.0
2022-11,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2750,3155,87.2
2022-12,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2806,3363,83.4
2022-12,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2022-12,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",573,643,89.1
2022-12,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",949,1317,72.1
2022-12,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",3970,4440,89.4
2022-12,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1811,2167,83.6
2022-12,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",3718,4173,89.1
2022-12,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",3123,3123,100.0
2022-12,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",10034,11335,88.5
2022-12,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",6599,7342,89.9
2023-01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",333,392,84.9
2023-01,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",76,78,97.4
2023-01,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",10,41,24.4
2023-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2023-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",70,102,68.6
2023-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",426,476,89.5
2023-01,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",340,340,100.0
2023-01,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",1049,1157,90.7
2023-01,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",480,553,86.8
2023-01,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",116,162,71.6
2023-02,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",419,512,81.8
2023-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",326,351,92.9
2023-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",251,269,93.3
2023-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",1936,2228,86.9
2023-02,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",589,652,90.3
2023-02,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",737,789,93.4
2023-02,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",326,379,86.0
2023-02,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",61,218,28.0
2023-03,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",618,751,82.3
2023-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",407,519,78.4
2023-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",376,410,91.7
2023-03,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2023-03,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",186,190,97.9
2023-03,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",271,374,72.5
2023-03,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",891,1079,82.6
2023-03,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",1125,1212,92.8
2023-03,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",702,796,88.2
2023-03,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",807,936,86.2
2023-03,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1531,1700,90.1
2023-03,Região de Saúde Norte,"Centro Hospitalar Universitário de Santo António, EPE","41.1472498, -8.6172617",2893,3234,89.5
2023-03,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1149,1272,90.3
2023-04,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",761,939,81.0
2023-04,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",789,892,88.5
2023-04,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1231,1368,90.0
2023-04,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",845,941,89.8
2023-04,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2020,2242,90.1
2023-04,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",2400,2969,80.8
2023-04,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1005,1041,96.5
2023-04,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1550,1733,89.4
2023-05,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1019,1236,82.4
2023-05,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",684,878,77.9
2023-05,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",686,742,92.5
2023-05,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1022,1156,88.4
2023-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",4948,5694,86.9
2023-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",2461,2663,92.4
2023-05,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2023-05,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",799,964,82.9
2023-05,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",1133,1254,90.4
2023-05,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",4942,5333,92.7
2023-05,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1242,1284,96.7
2023-05,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1299,1562,83.2
2023-06,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1214,1309,92.7
2023-06,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",2706,3172,85.3
2023-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",2928,3175,92.2
2023-06,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1710,1798,95.1
2023-06,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",356,362,98.3
2023-06,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1778,1977,89.9
2023-06,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1736,2098,82.7
2023-06,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",1416,1581,89.6
2023-06,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",621,850,73.1
2023-06,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",191,582,32.8
2023-06,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",3754,4199,89.4
2023-06,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3181,3526,90.2
2023-06,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",1884,2277,82.7
2023-06,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1479,1529,96.7
2023-07,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1994,2091,95.4
2023-07,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",390,396,98.5
2023-07,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",1488,1682,88.5
2023-07,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",4446,4938,90.0
2023-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",1437,1557,92.3
2023-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1094,1197,91.4
2023-08,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2023-08,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",101,293,34.5
2023-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",3674,4134,88.9
2023-08,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",2564,2729,94.0
2023-08,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2218,2417,91.8
2023-08,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",962,1257,76.5
2023-08,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",248,748,33.2
2023-08,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",4096,4549,90.0
2023-08,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",4857,5885,82.5
2023-08,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2520,3040,82.9
2023-09,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1837,2194,83.7
2023-09,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",1199,1521,78.8
