tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2015-07,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",659,876,75.2
2015-07,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",4054,4924,82.3
2015-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",949,1259,75.4
2015-08,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1714,2150,79.7
2015-08,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1177,1582,74.4
2015-08,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1117,1451,77.0
2015-08,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1500,1989,75.4
2015-08,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",1406,1665,84.4
2015-08,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",1699,2913,58.3
2015-08,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",3076,4030,76.3
2015-08,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2750,3450,79.7
2015-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",638,1052,60.6
2015-09,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4065,4452,91.3
2015-09,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1331,1813,73.4
2015-09,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",829,1093,75.8
2015-09,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2812,3258,86.3
2015-09,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2405,3349,71.8
2015-09,Região de Saúde Norte,"Hospital de Braga, PPP","41.56785, -8.398982",5225,6347,82.3
2015-09,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",3170,3965,79.9
2015-09,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",2947,3626,81.3
2015-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4687,5139,91.2
2015-10,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",1889,2217,85.2
