tempo,regiao,encargos_sns_hospitalar,ano,mes
2016-04-01,Lisboa e Vale do Tejo,50935770.01,2016,4
2016-05-01,Alentejo,3441789.85,2016,5
2016-10-01,Lisboa e Vale do Tejo,49823154.54,2016,10
2017-02-01,Algarve,3566797.91,2017,2
2017-07-01,Alentejo,2940185.18,2017,7
2018-01-01,Lisboa e Vale do Tejo,53314670.52,2018,1
2018-12-01,Lisboa e Vale do Tejo,40559360.009999976,2018,12
2019-11-01,Lisboa e Vale do Tejo,43795139.47,2019,11
2020-04-01,Lisboa e Vale do Tejo,46137557.06,2020,4
2020-10-01,Lisboa e Vale do Tejo,51618838.39,2020,10
2020-11-01,Alentejo,3697345.33,2020,11
2021-06-01,Alentejo,3633031.88,2021,6
2021-07-01,Norte,51567302.21,2021,7
2022-11-01,Norte,54973870.60999997,2022,11
2022-12-01,Centro,18517455.000000022,2022,12
2023-01-01,Norte,60481739.35999999,2023,1
2024-02-01,Algarve,5635243.940000002,2024,2
2024-07-01,Alentejo,5803150.829999997,2024,7
2012-03-01,Norte,26682798.7,2012,3
2012-01-01,Norte,26825543.309999995,2012,1
2012-06-01,Lisboa e Vale do Tejo,37669723.04,2012,6
2012-07-01,Norte,25885700.76,2012,7
2012-08-01,Centro,14053572.660000002,2012,8
2013-02-01,Lisboa e Vale do Tejo,37668821.66,2013,2
2013-11-01,Lisboa e Vale do Tejo,34813982.37,2013,11
2014-06-01,Lisboa e Vale do Tejo,34174903.6,2014,6
2014-08-01,Alentejo,2484426.37,2014,8
2014-09-01,Centro,14278518.04,2014,9
2014-10-01,Lisboa e Vale do Tejo,36255391.79,2014,10
2015-04-01,Lisboa e Vale do Tejo,48360163.59,2015,4
2015-05-01,Centro,16664466.28,2015,5
2016-09-01,Lisboa e Vale do Tejo,50872648.97,2016,9
2016-12-01,Norte,25385676.90999999,2016,12
2017-03-01,Norte,38829646.83999999,2017,3
2017-04-01,Centro,14761510.37000001,2017,4
2017-05-01,Algarve,3079560.6,2017,5
2017-08-01,Centro,16720177.97999998,2017,8
2017-09-01,Centro,16155492.04000001,2017,9
