periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf,ano,mes
2021-12-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124826.0,124485.0,99.73,276.0,0.22,65.0,0.05,77.2499,1.46628,2021,12
2021-12-01,Norte,ACES Gaia,"41.1278433, -8.580396",161025.0,158915.0,98.69,1935.0,1.2,175.0,0.11,69.3718,57.0142,2021,12
2021-12-01,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115555.0,111883.0,96.82,3640.0,3.15,32.0,0.03,75.3382,62.4545,2021,12
2021-12-01,Norte,ACES Vale do Sousa Sul,"41.1548155, -8.2163769",174720.0,171128.0,97.94,3581.0,2.05,11.0,0.01,76.3788,73.8102,2021,12
2022-01-01,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",398974.0,373020.0,93.49,23556.0,5.9,2398.0,0.6,71.0569,44.3875,2022,1
2022-01-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",176554.0,126596.0,71.7,49576.0,28.08,382.0,0.22,55.9308,41.0725,2022,1
2022-01-01,Lisboa e Vale do Tejo,ACES Arrábida,"38.5324373, -8.8627453",239757.0,183964.0,76.73,55182.0,23.02,611.0,0.25,65.1205,45.7359,2022,1
2022-01-01,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",200643.0,167992.0,83.73,30701.0,15.3,1950.0,0.97,73.1159,60.62,2022,1
2022-01-01,Lisboa e Vale do Tejo,ACES Oeste Norte,"39.410844, -9.1396215",181097.0,140844.0,77.77,40045.0,22.11,208.0,0.11,71.2602,49.4297,2022,1
2022-01-01,Norte,ACES Alto Minho,"41.7056054, -8.8252713",249401.0,248608.0,99.68,670.0,0.27,123.0,0.05,77.11,36.9949,2022,1
2022-01-01,Norte,ACES Alto Tâmega e Barroso,"41.741781, -7.4731648",90617.0,86997.0,96.01,3403.0,3.76,217.0,0.24,74.1417,60.2811,2022,1
2022-01-01,Norte,ACES Baixo Tâmega,"41.2719719, -8.0791631",164321.0,163476.0,99.49,611.0,0.37,234.0,0.14,76.1271,18.1495,2022,1
2022-01-01,Norte,ACES Braga,"41.5518714, -8.4126362",204593.0,198979.0,97.26,3918.0,1.92,1696.0,0.83,74.2481,58.2529,2022,1
2022-01-01,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160834.0,146431.0,91.04,14395.0,8.95,8.0,0.0,78.2689,69.0759,2022,1
2022-02-01,Alentejo,ACES Alentejo Litoral,"38.3841359, -8.5132031",103077.0,88920.0,86.27,13622.0,13.22,535.0,0.52,62.8326,41.5737,2022,2
2022-02-01,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",276858.0,242763.0,87.69,33732.0,12.18,363.0,0.13,57.6868,25.6578,2022,2
2022-02-01,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",399662.0,379192.0,94.88,18022.0,4.51,2448.0,0.61,71.1108,36.9654,2022,2
2022-02-01,Centro,ACES Cova da Beira,"40.2677741, -7.4995083",87564.0,84260.0,96.23,3185.0,3.64,119.0,0.14,73.8246,62.8935,2022,2
2022-02-01,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",131565.0,124673.0,94.76,6144.0,4.67,748.0,0.57,74.4149,53.1123,2022,2
2022-02-01,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",201022.0,167841.0,83.49,31239.0,15.54,1942.0,0.97,73.0436,60.3571,2022,2
