tempo,regiao,entidade,localizacao_geografica,modalidade_de_vinculacao,no_trabalhadores,ano,mes
2020-06-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.","41.3828711, -8.7589945",CTR certo no âmbito do Código Trabalho,28.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.","41.3828711, -8.7589945",CTR incerto no âmbito do Código Trabalho,36.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",CT em Funções Públicas a Termo Resolutivo Incerto,205.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",Comissão de Serviço no âmbito do LTFP,10.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",Comissão de Serviço no âmbito do Código Trabalho,3.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",P. Serviços (Tarefas),127.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",CT em Funções Públicas p/ Tempo Indeterminado,562.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",CTR incerto no âmbito do Código Trabalho,46.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",P. Serviços (Tarefas),174.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",P. Serviços (Avenças),1.0,2020,6
