tempo,regiao,entidade,localizacao_geografica,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,ano,mes
2023-05-01,Norte,ACES Douro II - Douro Sul,"41.0953745, -7.8123805",63.94333,43915,90.04776,61843,2023,5
2023-05-01,Norte,ACES Tâmega III - Vale do Sousa Norte,"41.2793583, -8.2787457",64.03933,103501,90.92073,146947,2023,5
2023-05-01,Norte,ACES Cávado II - Gerês / Cabreira,"41.6298661, -8.3596897",64.13822,69327,90.94551,98303,2023,5
2023-05-01,Norte,ACES Cávado I - Braga,"41.5518714, -8.4126362",57.96398,121256,86.86231,181709,2023,5
2023-06-01,Algarve,ACES Algarve I - Algarve Central,"37.0274264, -7.9395984",47.02722,132953,73.27839,207169,2023,6
2023-06-01,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",57.25243,161603,84.33878,238058,2023,6
2023-06-01,Centro,Área dos CSP da ULS Guarda,"40.5353285, -7.2724426",62.12161,91220,86.59843,127162,2023,6
2023-06-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",59.75751,237214,83.23664,330417,2023,6
2023-06-01,Centro,Área dos CSP da ULS Viseu Dão-Lafões,"40.6565861, -7.9124712",60.71214,168988,85.10471,236883,2023,6
2023-06-01,Lisboa e Vale do Tejo,ACES Oeste Norte,"39.410844, -9.1396215",57.31522,106408,83.88346,155733,2023,6
2023-06-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",43.9339,101323,68.75634,158570,2023,6
2023-06-01,Lisboa e Vale do Tejo,ACES Loures / Odivelas,"38.8012718, -9.1137868",42.7298,162075,70.93398,269054,2023,6
2023-06-01,Norte,Área dos CSP da ULS Barcelos / Esposende,"41.5317419, -8.6178922",65.1763,105248,89.16907,143992,2023,6
2023-06-01,Norte,ACES Grande Porto V - Porto Ocidental,"41.1741353, -8.6691662",57.50986,104408,82.6024,149963,2023,6
2023-07-01,Alentejo,Área dos CSP da ULS Litoral Alentejano,"38.3841359, -8.5132031",51.38689,54707,75.43889,80313,2023,7
2023-07-01,Algarve,ACES Algarve I - Algarve Central,"37.0274264, -7.9395984",49.26904,139592,73.68932,208781,2023,7
2023-07-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",45.68301,82001,72.23343,129659,2023,7
2023-07-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.6672076, -9.0543329",48.3808,112571,76.45362,177890,2023,7
2023-07-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.5324373, -8.8627453",52.81291,129389,79.88775,195721,2023,7
2023-07-01,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",43.77203,118578,72.97517,197689,2023,7
2023-07-01,Norte,ACES Tâmega III - Vale do Sousa Norte,"41.2793583, -8.2787457",69.99185,113307,91.44892,148043,2023,7
2023-07-01,Norte,ACES Grande Porto I - Santo Tirso / Trofa,"41.3469246, -8.4822648",66.56388,77495,88.89643,103495,2023,7
2023-07-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",67.19909,84142,90.76214,113646,2023,7
2023-07-01,Norte,Área dos CSP da ULS Alto Minho,"41.7056054, -8.8252713",68.58355,172692,88.80333,223605,2023,7
2023-07-01,Norte,ACES Grande Porto VII - Gaia,"41.1278433, -8.580396",62.85505,103675,84.92631,140080,2023,7
2023-07-01,Norte,ACES Entre Douro e Vouga II - Aveiro Norte,"40.8472225, -8.4656674",68.35404,82031,90.32906,108403,2023,7
2023-07-01,Norte,Área dos CSP da ULS Nordeste,"41.8069684, -6.7587977",66.80461,87331,87.97255,115003,2023,7
2023-08-01,Alentejo,Área dos CSP da ULS Alto Alentejo,"39.2967086, -7.4284755",65.11213,75575,84.81248,98441,2023,8
2023-08-01,Alentejo,Área dos CSP da ULS Litoral Alentejano,"38.3841359, -8.5132031",54.15785,56830,76.96647,80764,2023,8
2023-08-01,Alentejo,Área dos CSP da ULS Baixo Alentejo,"38.0153039, -7.8627308",64.95318,79693,87.51763,107378,2023,8
2023-08-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.6672076, -9.0543329",50.25068,117367,76.66411,179059,2023,8
2023-08-01,Lisboa e Vale do Tejo,ACES Sintra,"38.7519209, -9.2753636",48.98786,185761,74.17761,281280,2023,8
