tempo,regiao,entidade,localizacao_geografica,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,ano,mes
2014-07-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, EPE","38.7396768, -9.1634516",-4601537.680000001,66782247.95,58900289.87,-6855315.029999999,-7881958.08,2014,7
2014-08-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Barreiro - Montijo, EPE","38.6554005, -9.0592392",-8124771.03,48397865.919999994,37347090.58,-10004271.62,-11050775.34,2014,8
2014-08-01,Norte,"Centro Hospitalar Médio Ave, EPE","41.3423984, -8.4802503",-296401.52999999997,27780646.51,26617786.1,-656576.95,-1162860.41,2014,8
2014-08-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",-1595434.8299999998,38383265.36,36095369.120000005,-2331804.24,-2287896.24,2014,8
2014-08-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",-1280869.98,219185810.62,211672869.99,-5909189.05,-7512940.63,2014,8
2014-08-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, EPE","38.7500861, -9.1616116",-333171.98000000004,265857188.4,257738668.11,-8942471.92,-8118520.29,2014,8
2014-08-01,Norte,"Hospital da Senhora da Oliveira Guimarães, EPE","41.4387173, -8.3086907",0.0,0.0,0.0,0.0,0.0,2014,8
2014-08-01,Centro,Hospital Rovisco Pais,"40.297919, -8.7707806",347508.48000000004,4700768.96,4408901.71,-266049.94,-291867.25,2014,8
2014-08-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",-1876299.18,61041229.62,56785346.96,-4332417.85,-4255882.66,2014,8
2014-08-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",-3204113.62,54575429.05,49724066.73,-4882775.260000001,-4851362.32,2014,8
2014-09-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Barreiro - Montijo, EPE","38.6554005, -9.0592392",-10138735.06,55170968.22,41753262.34,-12364244.04,-13417705.88,2014,9
2014-09-01,Lisboa e Vale do Tejo,"Centro Hospitalar Psiquiátrico de Lisboa, SPA","38.7569771, -9.1460705",1933292.08,18749517.37,17407327.68,-1008880.13,-1342189.69,2014,9
2014-09-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",-1997064.39,247969714.35,238960381.69,-7173291.970000001,-9009332.66,2014,9
2014-09-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, EPE","38.7500861, -9.1616116",-456595.05,299893212.77,290694564.1,-12509025.58,-9198648.67,2014,9
2014-09-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE - Almada","38.6658713, -9.1822554",-6776151.95,101904016.35,91939482.35,-9690622.590000002,-9964534.0,2014,9
2014-09-01,Centro,"Instituto Português de Oncologia de Coimbra, EPE","40.2162514, -8.4103814",1112622.72,35810125.62,34605847.97,250495.44,-1204277.65,2014,9
2014-09-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",3533225.4200000004,102436257.86,101769670.4,591382.8099999999,-666587.46,2014,9
2014-10-01,Norte,"Centro Hospitalar do Alto Ave, EPE","41.4387173, -8.3086907",-5731055.430000001,70764915.45,63268015.010000005,-5870393.12,-7496900.44,2014,10
2014-10-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Barreiro - Montijo, EPE","38.6554005, -9.0592392",-11525540.29,61843862.96,46684810.2,-14112546.53,-15159052.76,2014,10
2014-10-01,Lisboa e Vale do Tejo,"Centro Hospitalar Psiquiátrico de Lisboa, SPA","38.7569771, -9.1460705",1227042.07,21013693.98,18593440.84,-2085242.21,-2420253.1399999997,2014,10
2014-10-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-21413226.14,337761819.45,307300671.71999997,-25517444.9,-30461147.73,2014,10
2014-10-01,Centro,"Hospital Distrital Figueira da Foz, EPE","40.117897, -8.8586755",38420.31,20850545.89,20289108.069999997,-448472.57,-561437.82,2014,10
2014-10-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-2587391.52,59506704.52,54810742.84,-3930795.94,-4695961.680000001,2014,10
2014-10-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE - Almada","38.6658713, -9.1822554",-3335999.73,112077941.55,105232096.39,-7111226.7,-6845845.16,2014,10
2014-10-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",-7241879.02,75407856.03,66916189.56,-8434808.31,-8491666.47,2014,10
2014-10-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",-5782779.09,67165335.13000001,59944173.75,-6906327.88,-7221161.38,2014,10
2014-10-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",8348848.21,37417624.69,45459169.66,7097237.82,8041544.97,2014,10
2014-11-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",-6648758.57,71140842.13000001,62999255.49,-6083969.65,-8141586.640000001,2014,11
2014-11-01,Norte,"Hospital Distrital S.Maria Maior, EPE - Barcelos","41.5324234, -8.6171561",-1316802.17,18965623.55,17292206.689999998,-1599938.83,-1673416.86,2014,11
2014-11-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-3117973.21,65592652.33,60155251.940000005,-4669246.670000001,-5437400.39,2014,11
2014-11-01,Centro,Hospital Dr. Francisco Zagalo - Ovar,"40.8571967, -8.6318023",-155694.8,6088720.19,5933025.39,-105046.38,-155694.8,2014,11
2014-11-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",-646469.0900000001,58448130.83,56557241.17,-1255412.75,-1890889.66,2014,11
2014-11-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",-2073705.57,105027685.55,99936979.74,-5275257.289999999,-5090705.8100000005,2014,11
2014-11-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",4830724.739999999,124490066.71,124495563.4,1346105.29,5496.6900000000005,2014,11
2014-12-01,Norte,"Centro Hospitalar do Alto Ave, EPE","41.4387173, -8.3086907",1494083.55,85275267.92,82673543.07,147379.81,-2601724.85,2014,12
2014-12-01,Norte,"Centro Hospitalar Médio Ave, EPE","41.3423984, -8.4802503",-6276263.45,48190099.24,40584033.88,-6807288.2,-7606065.359999999,2014,12
2014-12-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE","41.3828711, -8.7589945",-815194.93,26969449.369999997,25499425.54,-1005683.42,-1470023.83,2014,12
2014-12-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",-2538566.63,56843574.57,53249091.36,-2606269.62,-3594483.21,2014,12
2014-12-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-6692842.7700000005,400359430.6099999,382870022.96,-12356088.86,-17489407.650000002,2014,12
